  Time     J     Dist    Inhib     Conc     Size
    53     3  24.0769   0.8000   0.1001   8.0435
    53     4  29.6775   0.2592   0.0467   5.6062
    53     5  35.3023   0.1728   0.0310   5.6266
    53     6  41.1038   0.1728   0.0301   5.8016
    53     7  46.9218   0.1152   0.0200   5.8192
    53     8  53.0587   0.1728   0.0284   6.1358
    53     9  59.2179   0.1152   0.0189   6.1603
    53    10  65.4962   0.1152   0.0185   6.2784
    53    11  60.4295   0.0768   0.0153   5.0136
    54     1   8.6008   5.0000   0.5813   8.6225
    54     2  16.6944   1.2000   0.1487   8.1163
    54     3  25.2253   0.8000   0.0943   8.5360
    54     4  31.3736   0.2592   0.0425   6.1537
    54     5  37.5631   0.1728   0.0282   6.1911
    54     6  43.9302   0.1728   0.0274   6.3672
    54     7  50.3252   0.1152   0.0182   6.3961
    54     8  57.0292   0.1728   0.0260   6.7031
    54     9  61.9429   0.1152   0.0179   6.4491
    55     1   8.8197   5.0000   0.5669   8.8418
    55     2  17.3615   1.2000   0.1408   8.5649
    55     3  26.3905   0.8000   0.0890   9.0339
    55     4  33.0908   0.2592   0.0390   6.7056
    55     5  39.8479   0.1728   0.0258   6.7587
    55     6  46.7835   0.1728   0.0251   6.9356
    55     7  51.0094   0.1152   0.0178   6.4539
    55     8  60.5102   0.1728   0.0239   7.2730
    56     1   9.1203   5.0000   0.5482   9.2203
    56     2  18.1945   1.2000   0.1337   9.0200
    56     3  28.1742   0.8000   0.0805  10.0339
    56     4  35.4795   0.2592   0.0360   7.2611
    56     5  42.8069   0.1728   0.0238   7.3288
    56     6  50.3133   0.1728   0.0232   7.5064
    56     7  51.0094   0.1152   0.0178   6.4539
    56     8  64.6122   0.1728   0.0222   7.8451
    57     1   5.0101   5.0000   0.9980   5.0243
    57     2  10.0344   2.0000   0.3992   5.0386
    57     3  19.9828   1.2000   0.1210  10.0200
    57     4  25.4972   0.4800   0.0887   5.4644
    57     5  30.9871   0.3200   0.0588   5.4931
    57     6  38.8040   0.2592   0.0334   7.8197
    57     7  46.7038   0.1728   0.0220   7.9011
    57     8  54.7831   0.1728   0.0215   8.0794
    57     9  51.0094   0.1152   0.0178   6.4539
    57    10  69.6561   0.1728   0.0207   8.4192
    58     1   5.1527   5.0000   0.9704   5.1671
    58     2  10.4662   2.0000   0.3774   5.3286
    58     3  15.8680   0.7200   0.1340   5.4181
    58     4  21.3211   0.4800   0.0888   5.4573
    58     5  27.2896   0.4800   0.0811   5.9693
    58     6  33.3146   0.3200   0.0536   6.0279
    58     7  41.6932   0.2592   0.0311   8.3811
    58     8  50.1673   0.1728   0.0205   8.4753
    58     9  58.8214   0.1728   0.0201   8.6541
    58    10  51.0094   0.1152   0.0178   6.4539
    58    11  74.2700   0.1728   0.0193   8.9949
    59     1   5.2983   5.0000   0.9437   5.3130
    59     2  10.9113   2.0000   0.3573   5.6288
    59     3  16.7761   0.7200   0.1234   5.8811
    59     4  22.7342   0.4800   0.0812   5.9621
    59     5  29.2148   0.4800   0.0747   6.4813
    59     6  35.7800   0.3200   0.0491   6.5680
    59     7  44.7227   0.2592   0.0292   8.9450
    59     8  53.7728   0.1728   0.0192   9.0512
    59     9  63.0878   0.1728   0.0187   9.3574
    59    10  51.0094   0.1152   0.0178   6.4539
    59    11  79.4942   0.1728   0.0175   9.9525
    60     1   5.4469   5.0000   0.9179   5.4620
    60     2  11.3694   2.0000   0.3386   5.9388
    60     3  17.7064   0.7200   0.1142   6.3532
    60     4  24.1765   0.4800   0.0747   6.4740
    60     5  31.1753   0.4800   0.0691   6.9994
    60     6  38.2853   0.3200   0.0453   7.1126
    60     7  48.1414   0.2592   0.0264   9.9015
    60     8  58.1926   0.1728   0.0174  10.0512
    60     9  63.3788   0.1037   0.0204   5.1437
    60    10  67.9552   0.0691   0.0137   5.0287
    61     1   5.5988   5.0000   0.8931   5.6141
    61     2  11.8403   2.0000   0.3212   6.2586
    61     3  18.6576   0.7200   0.1061   6.8333
    61     4  25.6460   0.4800   0.0692   6.9921
    61     5  33.1684   0.4800   0.0643   7.5229
    61     6  40.8270   0.3200   0.0421   7.6610
    61     7  46.2774   0.1555   0.0288   5.4519
    61     8  51.7375   0.1037   0.0192   5.4613
    61     9  57.2814   0.1037   0.0189   5.5439
    61    10  58.9557   0.0691   0.0138   5.0256
    62     1   5.7539   5.0000   0.8690   5.7696
    62     2  12.3239   2.0000   0.3051   6.5876
    62     3  19.6288   0.7200   0.0990   7.3206
    62     4  27.1408   0.4800   0.0643   7.5155
    62     5  35.1916   0.4800   0.0600   8.0513
    62     6  43.4022   0.3200   0.0392   8.2129
    62     7  49.4197   0.1555   0.0261   6.0189
    63     1   5.9124   5.0000   0.8457   5.9284
    63     2  12.8199   2.0000   0.2902   6.9257
    63     3  20.6189   0.7200   0.0927   7.8144
    63     4  28.6593   0.4800   0.0601   8.0438
    63     5  37.2428   0.4800   0.0563   8.5839
    63     6  46.0084   0.3200   0.0367   8.7678
    63     7  52.5958   0.1555   0.0238   6.5889
    64     1   6.0743   5.0000   0.8231   6.0907
    64     2  13.3281   2.0000   0.2763   7.2725
    64     3  21.6270   0.7200   0.0871   8.3141
    64     4  30.2002   0.4800   0.0563   8.5764
    64     5  39.3663   0.4800   0.0527   9.2127
    64     6  48.9126   0.3200   0.0339   9.5463
    64     7  56.1165   0.1555   0.0219   7.1613
    65     1   6.2398   5.0000   0.8013   6.2565
    65     2  13.8482   2.0000   0.2634   7.6276
    65     3  22.6524   0.7200   0.0821   8.8191
    65     4  31.8083   0.4800   0.0527   9.2052
    65     5  36.9147   0.2880   0.0575   5.0597
    65     6  41.9743   0.1920   0.0384   5.0618
    65     7  47.2194   0.1920   0.0370   5.2452
    65     8  52.4689   0.1280   0.0246   5.2510
    65     9  60.2041   0.1555   0.0203   7.7357
    66     1   6.4088   5.0000   0.7802   6.4259
    66     2  14.3800   2.0000   0.2514   7.9907
    66     3  23.9391   0.7200   0.0756   9.6224
    66     4  29.0417   0.2880   0.0576   5.0559
    66     5  34.0976   0.1920   0.0384   5.0580
    66     6  39.6952   0.2880   0.0520   5.5961
    66     7  45.3118   0.1920   0.0345   5.6186
    66     8  51.1150   0.1920   0.0334   5.8033
    66     9  56.9364   0.1280   0.0222   5.8227
    66    10  65.2480   0.1555   0.0188   8.3120
    67     1   6.5816   5.0000   0.7597   6.5991
    67     2  14.9233   2.0000   0.2403   8.3616
    67     3  20.1736   0.4320   0.0829   5.2636
    67     4  25.4491   0.2880   0.0551   5.2784
    67     5  31.0410   0.2880   0.0520   5.5923
    67     6  36.6538   0.1920   0.0345   5.6147
    67     7  42.7934   0.2880   0.0473   6.1381
    67     8  48.9708   0.1920   0.0314   6.1793
    67     9  55.3359   0.1920   0.0304   6.3652
    67    10  61.7318   0.1280   0.0202   6.3971
    68     1   6.7582   5.0000   0.7398   6.7760
    68     2  15.4777   2.0000   0.2298   8.7398
    68     3  21.2387   0.4320   0.0755   5.7743
    68     4  27.0532   0.2880   0.0500   5.8172
    68     5  33.1871   0.2880   0.0474   6.1342
    68     6  39.3608   0.1920   0.0314   6.1754
    68     7  46.0469   0.2880   0.0434   6.6847
    68     8  52.7885   0.1920   0.0287   6.7433
    68     9  59.7186   0.1920   0.0279   6.9302
    68    10  66.6911   0.1280   0.0185   6.9736
    69     1   6.9386   5.0000   0.7206   6.9568
    69     2  16.1656   2.0000   0.2172   9.3088
    69     3  22.5055   0.4320   0.0692   6.2920
    69     4  28.8642   0.2880   0.0457   6.3612
    69     5  35.5447   0.2880   0.0435   6.6808
    69     6  42.2825   0.1920   0.0287   6.7394
    69     7  49.5192   0.2880   0.0401   7.2354
    69     8  56.8277   0.1920   0.0265   7.3101
    69     9  64.3256   0.1920   0.0258   7.4979
    70     1   7.1228   5.0000   0.7020   7.1415
    70     2  12.1833   1.2000   0.2380   5.0794
    70     3  17.2688   0.8000   0.1585   5.0916
    70     4  24.0756   0.4320   0.0639   6.8157
    70     5  30.9827   0.2880   0.0420   6.9095
    70     6  38.2139   0.2880   0.0401   7.2314
    70     7  45.5186   0.1920   0.0265   7.3063
    70     8  53.3094   0.2880   0.0372   7.7895
    70     9  61.1873   0.1920   0.0245   7.8794
    70    10  69.2551   0.1920   0.0240   8.0679
    71     1   7.3111   5.0000   0.6839   7.3301
    71     2  12.7531   1.2000   0.2213   5.4618
    71     3  18.2813   0.8000   0.1457   5.5341
    71     4  25.6175   0.4320   0.0592   7.3447
    71     5  33.0770   0.2880   0.0389   7.4617
    71     6  40.8623   0.2880   0.0373   7.7855
    71     7  48.7364   0.1920   0.0246   7.8755
    71     8  57.0842   0.2880   0.0347   8.3467
    71     9  65.5336   0.1920   0.0229   8.4507
    71    10  74.1733   0.1920   0.0224   8.6398
    72     1   7.5034   5.0000   0.6664   7.5228
    72     2  13.3384   1.2000   0.2063   5.8554
    72     3  19.3194   0.8000   0.1347   5.9869
    72     4  27.1898   0.4320   0.0552   7.8783
    72     5  35.2048   0.2880   0.0362   8.0171
    72     6  43.5473   0.2880   0.0348   8.3427
    72     7  51.9928   0.1920   0.0229   8.4468
    72     8  60.9004   0.2880   0.0325   8.9065
    72     9  69.9230   0.1920   0.0214   9.0239
    72    10  79.2217   0.1920   0.0208   9.3413
    73     1   7.6997   5.0000   0.6494   7.7196
    73     2  13.9383   1.2000   0.1930   6.2595
    73     3  20.3814   0.8000   0.1250   6.4489
    73     4  28.7900   0.4320   0.0517   8.4160
    73     5  37.3634   0.2880   0.0338   8.5754
    73     6  46.2657   0.2880   0.0326   8.9025
    73     7  55.2844   0.1920   0.0214   9.0200
    73     8  65.0606   0.2880   0.0296   9.8187
    73     9  75.0845   0.1920   0.0193  10.0239
    73    10  80.2623   0.1152   0.0227   5.1351
    74     1   7.9002   5.0000   0.6329   7.9205
    74     2  14.5521   1.2000   0.1810   6.6734
    74     3  21.4656   0.8000   0.1164   6.9191
    74     4  30.4161   0.4320   0.0485   8.9574
    74     5  39.5942   0.2880   0.0316   9.2238
    74     6  49.4089   0.2880   0.0296   9.8147
    74     7  59.4289   0.1920   0.0194  10.0200
    74     8  64.8741   0.1728   0.0323   5.4013
    74     9  70.2833   0.1152   0.0215   5.4104
    74    10  75.8111   0.1152   0.0211   5.5279
    74    11  76.1892   0.0768   0.0153   5.0120
    75     1   8.1048   5.0000   0.6169   8.1255
    75     2  15.1792   1.2000   0.1701   7.0963
    75     3  22.5706   0.8000   0.1089   7.3968
    75     4  32.4304   0.4320   0.0440   9.9117
    75     5  37.5423   0.1728   0.0345   5.0678
    75     6  42.6101   0.1152   0.0230   5.0691
    75     7  48.0105   0.1728   0.0323   5.3993
    75     8  53.4177   0.1152   0.0215   5.4084
    75     9  58.9435   0.1152   0.0211   5.5259
    75    10  60.3600   0.0768   0.0153   5.0100
    75    11  69.9190   0.1728   0.0292   5.9645
    75    12  75.9035   0.1152   0.0194   5.9856
    75    13  82.0070   0.1152   0.0191   6.1036
    76     1   8.3137   5.0000   0.6014   8.3348
    76     2  15.8189   1.2000   0.1603   7.5276
    76     3  23.6950   0.8000   0.1021   7.8813
    76     4  29.1283   0.2592   0.0481   5.4389
    76     5  34.5804   0.1728   0.0320   5.4539
    76     6  40.2090   0.1728   0.0310   5.6288
    76     7  45.8506   0.1152   0.0206   5.6428
    76     8  51.8141   0.1728   0.0293   5.9625
    76     9  57.7966   0.1152   0.0194   5.9836
    76    10  63.8982   0.1152   0.0191   6.1016
    76    11  60.3600   0.0768   0.0153   5.0100
    77     1   8.5268   5.0000   0.5864   8.5483
    77     2  16.4707   1.2000   0.1515   7.9667
    77     3  24.8375   0.8000   0.0961   8.3719
    77     4  30.8170   0.2592   0.0437   5.9850
    77     5  36.8328   0.1728   0.0290   6.0175
    77     6  43.0261   0.1728   0.0282   6.1933
    77     7  49.2439   0.1152   0.0187   6.2190
    77     8  55.7738   0.1728   0.0267   6.5289
    77     9  61.8785   0.1152   0.0179   6.4454
    78     1   8.7441   5.0000   0.5718   8.7661
    78     2  17.1341   1.2000   0.1434   8.4129
    78     3  25.9972   0.8000   0.0907   8.8681
    78     4  32.5274   0.2592   0.0400   6.5356
    78     5  39.1100   0.1728   0.0265   6.5842
    78     6  45.8709   0.1728   0.0258   6.7609
    78     7  50.9519   0.1152   0.0179   6.4500
    78     8  59.4188   0.1728   0.0245   7.0981
    79     1   8.9658   5.0000   0.5577   8.9882
    79     2  17.8085   1.2000   0.1360   8.8659
    79     3  27.4720   0.8000   0.0832   9.7179
    79     4  34.6064   0.2592   0.0368   7.0900
    79     5  41.7585   0.1728   0.0244   7.1535
    79     6  49.0895   0.1728   0.0238   7.3310
    79     7  50.9519   0.1152   0.0179   6.4500
    79     8  63.2089   0.1728   0.0227   7.6695
    80     1   9.8106   5.0000   0.5097   9.9106
    80     2  19.5136   1.2000   0.1250   9.7030
    80     3  24.8702   0.4800   0.0913   5.3064
    80     4  30.1928   0.3200   0.0607   5.3257
    80     5  37.8376   0.2592   0.0341   7.6478
    80     6  45.5615   0.1728   0.0225   7.7252
    80     7  53.4648   0.1728   0.0220   7.9034
    80     8  50.9519   0.1152   0.0179   6.4500
    80     9  68.1577   0.1728   0.0211   8.2430
    81     1   5.1047   5.0000   0.9795   5.1190
    81     2  10.3254   2.0000   0.3841   5.2355
    81     3  15.5816   0.7200   0.1377   5.2725
    81     4  20.8761   0.4800   0.0914   5.2989
    81     5  26.6842   0.4800   0.0834   5.8089
    81     6  32.5399   0.3200   0.0551   5.8587
    81     7  40.7457   0.2592   0.0318   8.2084
    81     8  49.0433   0.1728   0.0210   8.2989
    81     9  57.5208   0.1728   0.0205   8.4776
    81    10  50.9519   0.1152   0.0179   6.4500
    81    11  72.7890   0.1728   0.0197   8.8182
    82     1   5.2493   5.0000   0.9525   5.2639
    82     2  10.7662   2.0000   0.3635   5.5325
    82     3  16.4824   0.7200   0.1266   5.7324
    82     4  22.2794   0.4800   0.0835   5.8012
    82     5  28.5974   0.4800   0.0766   6.3187
    82     6  34.9918   0.3200   0.0504   6.3972
    82     7  43.7610   0.2592   0.0297   8.7715
    82     8  52.6341   0.1728   0.0196   8.8742
    82     9  61.6875   0.1728   0.0192   9.0534
    82    10  50.9519   0.1152   0.0179   6.4500
    82    11  77.7439   0.1728   0.0181   9.6487
    83     1   5.3969   5.0000   0.9265   5.4118
    83     2  11.2202   2.0000   0.3443   5.8395
    83     3  17.4057   0.7200   0.1170   6.2017
    83     4  23.7126   0.4800   0.0767   6.3109
    83     5  30.5470   0.4800   0.0708   6.8350
    83     6  37.4848   0.3200   0.0465   6.9405
    83     7  46.9933   0.2592   0.0274   9.5539
    83     8  56.7404   0.1728   0.0179   9.7472
    83     9  66.7939   0.1728   0.0174  10.0534
    83    10  50.9519   0.1152   0.0179   6.4500
    84     1   5.5476   5.0000   0.9013   5.5629
    84     2  11.6870   2.0000   0.3266   6.1562
    84     3  18.3503   0.7200   0.1086   6.6793
    84     4  25.1736   0.4800   0.0708   6.8271
    84     5  32.5300   0.4800   0.0657   7.3569
    84     6  40.0153   0.3200   0.0431   7.4878
    84     7  45.2661   0.1555   0.0299   5.2523
    84     8  50.5220   0.1037   0.0199   5.2571
    84     9  55.8908   0.1037   0.0195   5.3689
    84    10  58.9588   0.0691   0.0138   5.0236
    85     1   5.7016   5.0000   0.8769   5.7172
    85     2  12.1665   2.0000   0.3101   6.4823
    85     3  19.3152   0.7200   0.1012   7.1645
    85     4  26.6605   0.4800   0.0658   7.3489
    85     5  34.5438   0.4800   0.0613   7.8838
    85     6  42.5801   0.3200   0.0401   8.0386
    85     7  48.3968   0.1555   0.0270   5.8182
    86     1   5.8590   5.0000   0.8534   5.8749
    86     2  12.6586   2.0000   0.2948   6.8176
    86     3  20.2993   0.7200   0.0947   7.6563
    86     4  28.1716   0.4800   0.0614   7.8757
    86     5  36.5862   0.4800   0.0574   8.4151
    86     6  45.1766   0.3200   0.0375   8.5926
    86     7  51.5623   0.1555   0.0246   6.3872
    87     1   6.0198   5.0000   0.8306   6.0360
    87     2  13.1628   2.0000   0.2806   7.1616
    87     3  21.3017   0.7200   0.0888   8.1541
    87     4  29.7054   0.4800   0.0575   8.4070
    87     5  38.6554   0.4800   0.0540   8.9503
    87     6  47.8469   0.3200   0.0350   9.2378
    87     7  54.8483   0.1555   0.0225   6.9587
    88     1   6.1840   5.0000   0.8085   6.2007
    88     2  13.6791   2.0000   0.2674   7.5141
